id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
189507,Palestine,PSE,31.83469,35.266071,"[31.83469, 35.266071]",Recommended figure,Conflict,total,8,2025-06-25,2025-06-25,2025-06-25,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://demolition.ochaopt.org/login.aspx,"Hizma, West Bank, Palestinian Territories","31.83469, 35.266071",County/City/town/Village/Woreda (ADM3),Origin,,2025-08-12T06:58:30.553074Z,"Palestine: 8 displacements (destroyed housing), 25 June - 25 June. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 8 people were displaced by housing demolition in Hizma due to international armed conflict (iac) on 25 June.",https://demolition.ochaopt.org/login.aspx,Conflict
189511,Palestine,PSE,31.806061,35.326118,"[31.806061, 35.326118]",Recommended figure,Conflict,total,2,2025-06-23,2025-06-23,2025-06-23,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://demolition.ochaopt.org/login.aspx,"Ramallah/Jerusalem, Ma'ale Adumim, West Bank, Palestinian Territories","31.806061, 35.326118",Point,Origin,,2025-08-12T07:06:45.843776Z,"Palestine: 2 displacements (destroyed housing), 23 June - 23 June. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 2 people were displaced by housing demolition in Jabal al Mukabbir due to international armed conflict (iac) on 23 June.",https://demolition.ochaopt.org/login.aspx,Conflict
189509,Palestine,PSE,31.83042,35.20549,"[31.83042, 35.20549]",Recommended figure,Conflict,total,11,2025-06-20,2025-06-20,2025-06-20,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://demolition.ochaopt.org/login.aspx,"Beit Hanina Village, West Bank, Palestinian Territories","31.83042, 35.20549",County/City/town/Village/Woreda (ADM3),Origin,,2025-08-12T07:03:15.229021Z,"Palestine: 11 displacements (destroyed housing), 20 June - 20 June. A total of 11 people were displaced by housing demolition due to international armed conflict (iac) on 20 June in Beit Hanina, according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://demolition.ochaopt.org/login.aspx,Conflict
188014,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,4100,2025-06-24,2025-06-18,2025-06-24,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-07/Population%20Movement%20Monitoring%20Flash-Update%2019%203.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-07-23T10:48:24.026684Z,"Palestine: 4,100 displacements, 18 June - 24 June. According to the Site Management Cluster - Palestine, a total of 4100 people were displaced in Gaza Strip, Palestinian Territories due to international armed conflict (iac) between 18 and 24 June.",https://www.cccmcluster.org/sites/default/files/2025-07/Population%20Movement%20Monitoring%20Flash-Update%2019%203.pdf,Conflict
189503,Palestine,PSE,32.1908,35.32328,"[32.1908, 35.32328]",Recommended figure,Conflict,total,8,2025-06-18,2025-06-18,2025-06-18,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://demolition.ochaopt.org/login.aspx,"Nablus Governorate, Judea and Samaria, Palestinian Territories","32.1908, 35.32328",District/Zone/Department (ADM2),Origin,,2025-08-12T06:48:31.618053Z,"Palestine: 8 displacements (destroyed housing), 18 June - 18 June. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 8 people were displaced by housing demolition in Einabus due to international armed conflict (iac) on 18 June.",https://demolition.ochaopt.org/login.aspx,Conflict
189515,Palestine,PSE,31.506121,34.951591,"[31.506121, 34.951591]",Recommended figure,Conflict,total,11,2025-06-17,2025-06-17,2025-06-17,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://demolition.ochaopt.org/login.aspx,"Beit Awwa, Hebron Governorate, Judea and Samaria, Palestinian Territories","31.506121, 34.951591",County/City/town/Village/Woreda (ADM3),Origin,,2025-08-12T07:16:45.637408Z,"Palestine: 11 displacements (destroyed housing), 17 June - 17 June. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 11 people were displaced by housing demolition in Beit Awwa due to international armed conflict (iac) on 17 June.",https://demolition.ochaopt.org/login.aspx,Conflict
189505,Palestine,PSE,31.806061,35.326118,"[31.806061, 35.326118]",Recommended figure,Conflict,total,5,2025-06-16,2025-06-16,2025-06-16,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://demolition.ochaopt.org/login.aspx,"Ramallah/Jerusalem, Ma'ale Adumim, West Bank, Palestinian Territories","31.806061, 35.326118",Point,Origin,,2025-08-12T06:53:14.295829Z,"Palestine: 5 displacements (destroyed housing), 16 June - 16 June. International armed conflict (iac) resulted in a total of 5 people being displaced by housing demolition in Jabal al Mukabbir on 16 June, according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://demolition.ochaopt.org/login.aspx,Conflict
189520,Palestine,PSE,31.806061,35.326118,"[31.806061, 35.326118]",Recommended figure,Conflict,total,5,2025-06-16,2025-06-16,2025-06-16,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://demolition.ochaopt.org/login.aspx,"Ramallah/Jerusalem, Ma'ale Adumim, West Bank, Palestinian Territories","31.806061, 35.326118",Point,Origin,,2025-08-12T07:28:41.956030Z,"Palestine: 5 displacements (destroyed housing), 16 June - 16 June. A total of 5 people were displaced by housing demolition due to international armed conflict (iac) on 16 June in Sur Bahir according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://demolition.ochaopt.org/login.aspx,Conflict
189517,Palestine,PSE,31.806061,35.326118,"[31.806061, 35.326118]",Recommended figure,Conflict,total,1,2025-06-15,2025-06-15,2025-06-15,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://demolition.ochaopt.org/login.aspx,"Ramallah/Jerusalem, Ma'ale Adumim, West Bank, Palestinian Territories","31.806061, 35.326118",Point,Origin,,2025-08-12T07:20:33.329051Z,"Palestine: 1 displacement (destroyed housing), 15 June - 15 June. International armed conflict (iac) resulted in a total of 1 person being displaced by housing demolition in At Tur on 15 June, according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://demolition.ochaopt.org/login.aspx,Conflict
185346,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,15311,2025-06-17,2025-06-12,2025-06-17,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-06/Population%20Movement%20Monitoring%20Flash-Update%2018.pdf,"Gaza Strip,, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-06-18T08:22:55.091978Z,"Palestine: 15,311 displacements, 12 June - 17 June. According to Shelter Cluster - Palestine, a total of 15311 people were displaced in the Gaza Strip, due to international armed conflict (iac) between 12 June and 17 June.",https://www.cccmcluster.org/sites/default/files/2025-06/Population%20Movement%20Monitoring%20Flash-Update%2018.pdf,Conflict
